type,repo_name,actor_login,event,issue_url,html_url,title,created_at
IssuesEvent,twbs/bootstrap,juthilo,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15613","https://github.com/twbs/bootstrap/issues/15613","Multiple Dropdown Example",2015-01-20 14:10:13.000000
IssuesEvent,twbs/bootstrap,bastienmoulia,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15617","https://github.com/twbs/bootstrap/issues/15617","There is 2 glyphicon euro in the doc",2015-01-20 14:43:36.000000
IssuesEvent,twbs/bootstrap,comerc,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15486","https://github.com/twbs/bootstrap/issues/15486","FEATURE REQUEST: border style for focused [contenteditable] element",2015-01-04 07:33:41.000000
IssuesEvent,twbs/bootstrap,jesusprubio,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15638","https://github.com/twbs/bootstrap/issues/15638","Browserify pollution global namespace ",2015-01-22 11:57:17.000000
IssuesEvent,twbs/bootstrap,cvrebert,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15614","https://github.com/twbs/bootstrap/issues/15614","Add prefix to class and data names to prevent clashes",2015-01-20 19:27:37.000000
IssuesEvent,twbs/bootstrap,browniebroke,"closed","https://api.github.com/repos/twbs/bootstrap/issues/15528","https://github.com/twbs/bootstrap/issues/15528","Affix sidebar width changes",2015-01-10 10:03:23.000000
IssuesEvent,twbs/bootstrap,Lukino2000,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15536","https://github.com/twbs/bootstrap/issues/15536","form-control-static does not take into account form-group-sm and lg",2015-01-10 10:39:46.000000
IssuesEvent,twbs/bootstrap,vasena,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15696","https://github.com/twbs/bootstrap/issues/15696","disabled in btn-group (checkboxes or radios) on data-toggle=buttons",2015-01-29 12:29:15.000000
IssuesEvent,twbs/bootstrap,rz,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15530","https://github.com/twbs/bootstrap/issues/15530","nested columns .col-*-1 overflow ",2015-01-09 18:12:57.000000
IssuesEvent,twbs/bootstrap,bbodenmiller,"opened","https://api.github.com/repos/twbs/bootstrap/issues/15540","https://github.com/twbs/bootstrap/issues/15540","Tooltip not activating/closing with disabled item inside div",2015-01-11 06:04:10.000000
